1,Agreement ID,Agreement Name,Trade Reference,Trade Date,Maturity Date,Exchanged Notional 1 Currency,Exchanged Notional 1 Amount,Exchanged Notional 2 Currency,Exchanged Notional 2 Amount,Product Type,Valuation Base Currency,Valuation Base Currency Amount,Valuation Date,Valuation Native Currency,Valuation Native Currency Amount,Effective Date,Buy/Sell,Put/Call,Strike Price,Underlying,Independent Amount Party A,Independent Amount Party B,Party A branch ID,Party A branch Name,Party B branch ID,Party B branch Name,ENTITYB_STATUS
280,BA-00001,BA-00001,B-5200259,09/04/2012,09/10/2023,EUR,70000000,GBP,63700000,FX - Swap,USD,4019031.1,27/09/2018,EUR,3464681.983,11/04/2012,,,0.148,EIB,,,3645457,EntityB,983400120,EntityA,Active
281,BA-00001,BA-00001,B-5200260,20/07/2015,15/04/2024,DKK,57000000,DKK,57000000,Interest Rate - Swap,USD,-20074.3988,27/09/2018,DKK,-125464.9925,22/07/2015,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
282,BA-00001,BA-00001,B-5200261,06/12/2010,05/09/2022,AUD,39000000,AUD,39000000,Interest Rate - Swaption,USD,2309593.935,27/09/2018,AUD,3163827.308,08/12/2010,Receiver,Call,,,,,3645457,EntityB,983400120,EntityA,Active
283,BA-00001,BA-00001,B-5200262,23/09/2014,25/04/2022,SEK,60000000,SEK,60000000,Interest Rate - Swaption,USD,278309.7457,27/09/2018,SEK,2530088.598,25/09/2014,Receiver,Call,,,,,3645457,EntityB,983400120,EntityA,Active
284,BA-00001,BA-00001,B-5200263,31/08/2015,08/03/2023,AUD,16000000,USD,11680000,FX - Swap,USD,824428.5694,27/09/2018,AUD,1129354.205,02/09/2015,,,0.846,,,,3645457,EntityB,983400120,EntityA,Active
285,BA-00001,BA-00001,B-5200264,26/03/2012,14/01/2019,USD,68000000,EUR,58480000,FX - Swap,USD,3841501.529,27/09/2018,USD,3841501.529,28/03/2012,,,0.71,LIB,,,3645457,EntityB,983400120,EntityA,Active
286,BA-00001,BA-00001,B-5200265,13/08/2007,07/02/2028,USD,16000000,EUR,13760000,FX - Swap,USD,829487.1469,27/09/2018,USD,829487.1469,15/08/2007,,,0.88,LIB,,,3645457,EntityB,983400120,EntityA,Active
287,BA-00001,BA-00001,B-5200266,18/12/2017,27/09/2023,JPY,41000000,JPY,41000000,Interest Rate - Swap Basis,USD,-26476.99578,27/09/2018,JPY,-2941888.42,20/12/2017,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
288,BA-00001,BA-00001,B-5200267,04/06/2008,02/12/2022,GBP,94000000,GBP,94000000,Interest Rate - Swap Basis,USD,1503366.554,27/09/2018,GBP,1174505.12,06/06/2008,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
289,BA-00001,BA-00001,B-5200268,09/05/2007,23/05/2028,DKK,55000000,DKK,55000000,Interest Rate - Swaption,USD,-281822.5989,27/09/2018,DKK,-1761391.243,11/05/2007,Receiver,Put,,,,,3645457,EntityB,983400120,EntityA,Active
290,BA-00001,BA-00001,B-5200269,09/02/2009,03/12/2018,JPY,83000000,JPY,83000000,Interest Rate - Swap,USD,-85149.9484,27/09/2018,JPY,-9461105.377,11/02/2009,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
291,BA-00001,BA-00001,B-5200270,25/09/2006,10/07/2024,DKK,39000000,DKK,39000000,Interest Rate - Swap Basis,USD,-36941.60485,27/09/2018,DKK,-230885.0303,27/09/2006,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
292,BA-00001,BA-00001,B-5200271,18/01/2013,14/11/2030,EUR,60000000,GBP,54600000,FX - Swap,USD,-864404.4866,27/09/2018,EUR,-745176.2816,22/01/2013,,,0.66,EIB,,,3645457,EntityB,983400120,EntityA,Active
293,BA-00001,BA-00001,B-5200272,20/07/2015,03/11/2025,JPY,90000000,JPY,90000000,Interest Rate - Swap Basis,USD,98031.61589,27/09/2018,JPY,10892401.77,22/07/2015,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
294,BA-00001,BA-00001,B-5200273,10/10/2008,26/12/2022,DKK,52000000,CAD,10400000,FX - Swap,USD,-576.6254429,27/09/2018,DKK,-3603.909018,14/10/2008,,,0.482,,,,3645457,EntityB,983400120,EntityA,Active
295,BA-00001,BA-00001,B-5200274,28/11/2016,19/01/2027,AUD,54000000,SEK,361260000,Cross Currency - Swap,USD,-557561.0982,27/09/2018,AUD,-763782.3263,30/11/2016,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
296,BA-00001,BA-00001,B-5200275,04/12/2017,01/02/2024,GBP,55000000,DKK,453200000,FX - Swap,USD,5917269.571,27/09/2018,GBP,4622866.852,06/12/2017,,,0.816,,,,3645457,EntityB,983400120,EntityA,Active
297,BA-00001,BA-00001,B-5200276,16/04/2012,25/05/2023,GBP,96000000,GBP,96000000,Interest Rate - Swap Basis,USD,18245102.76,27/09/2018,GBP,14253986.53,18/04/2012,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
298,BA-00001,BA-00001,B-5200277,12/12/2016,25/02/2025,CAD,9000000,CAD,9000000,Interest Rate - Swap,USD,923239.1614,27/09/2018,CAD,1199011.898,14/12/2016,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
299,BA-00001,BA-00001,B-5200278,12/01/2007,07/01/2027,AUD,65000000,AUD,65000000,Interest Rate - Swaption,USD,3843126.724,27/09/2018,AUD,5264557.156,16/01/2007,Receiver,Put,,,,,3645457,EntityB,983400120,EntityA,Active
300,BA-00001,BA-00001,B-5200279,08/09/2017,22/08/2024,GBP,2000000,DKK,16480000,Cross Currency - Swap,USD,356663.2426,27/09/2018,GBP,278643.1583,12/09/2017,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
301,BA-00001,BA-00001,B-5200280,19/03/2012,08/09/2025,EUR,75000000,EUR,75000000,Interest Rate - Swap,USD,7598508.117,27/09/2018,EUR,6550438.032,21/03/2012,Receiver,,,EIB,,,3645457,EntityB,983400120,EntityA,Active
302,BA-00001,BA-00001,B-5200281,23/10/2017,02/08/2019,SEK,85000000,SEK,85000000,Interest Rate - Swap,USD,-1182479.291,27/09/2018,SEK,-10749811.74,25/10/2017,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
303,BA-00001,BA-00001,B-5200282,19/06/2014,02/06/2026,AUD,79000000,SEK,528510000,Cross Currency - Swap,USD,-7955645.208,27/09/2018,AUD,-10898144.12,23/06/2014,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
304,BA-00001,BA-00001,B-5200283,14/01/2013,21/10/2025,CAD,34000000,CAD,34000000,Interest Rate - Swaption,USD,-2167219.533,27/09/2018,CAD,-2814570.822,16/01/2013,Payer,Call,,,,,3645457,EntityB,983400120,EntityA,Active
305,BA-00001,BA-00001,B-5200284,24/02/2012,13/11/2029,EUR,84000000,EUR,84000000,Interest Rate - Swap,USD,14107575.01,27/09/2018,EUR,12161702.59,28/02/2012,Receiver,,,EIB,,,3645457,EntityB,983400120,EntityA,Active
306,BA-00001,BA-00001,B-5200285,10/08/2016,12/07/2029,DKK,44000000,DKK,44000000,Interest Rate - Swap Basis,USD,-744076.1259,27/09/2018,DKK,-4650475.787,12/08/2016,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
307,BA-00001,BA-00001,B-5200286,15/07/2008,25/11/2019,CHF,62000000,CHF,62000000,Interest Rate - Swaption,USD,485554.1742,27/09/2018,CHF,476033.5041,17/07/2008,Receiver,Call,,,,,3645457,EntityB,983400120,EntityA,Active
308,BA-00001,BA-00001,B-5200287,02/01/2012,17/06/2030,AUD,86000000,SEK,575340000,FX - Swap,USD,2106052.856,27/09/2018,AUD,2885003.912,04/01/2012,,,0.998,,,,3645457,EntityB,983400120,EntityA,Active
309,BA-00001,BA-00001,B-5200288,21/02/2007,09/04/2025,DKK,51000000,CAD,10200000,FX - Swap,USD,103705.749,27/09/2018,DKK,648160.9315,23/02/2007,,,0.836,,,,3645457,EntityB,983400120,EntityA,Active
310,BA-00001,BA-00001,B-5200289,20/02/2015,02/10/2023,SEK,92000000,SEK,92000000,Interest Rate - Swap,USD,595064.5537,27/09/2018,SEK,5409677.761,24/02/2015,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
311,BA-00001,BA-00001,B-5200290,11/06/2018,16/02/2026,GBP,9000000,DKK,74160000,Cross Currency - Swap,USD,799970.9849,27/09/2018,GBP,624977.3319,13/06/2018,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
312,BA-00001,BA-00001,B-5200291,20/03/2012,10/03/2027,AUD,38000000,SEK,254220000,FX - Swap,USD,3730056.56,27/09/2018,AUD,5109666.521,22/03/2012,,,0.392,,,,3645457,EntityB,983400120,EntityA,Active
313,BA-00001,BA-00001,B-5200292,22/03/2011,10/05/2027,USD,66000000,USD,66000000,Interest Rate - Swap,USD,4859587.855,27/09/2018,USD,4859587.855,24/03/2011,Payer,,,LIB,,,3645457,EntityB,983400120,EntityA,Active
314,BA-00001,BA-00001,B-5200293,17/12/2014,24/08/2023,NOK,99000000,AUD,15840000,FX - Swap,USD,452200.8651,27/09/2018,NOK,3768340.542,19/12/2014,,,0.316,,,,3645457,EntityB,983400120,EntityA,Active
315,BA-00001,BA-00001,B-5200294,24/03/2014,25/09/2018,AUD,82000000,AUD,82000000,Interest Rate - Swaption,USD,379533.2838,27/09/2018,AUD,519908.608,26/03/2014,Receiver,Call,,,,,3645457,EntityB,983400120,EntityA,Active
316,BA-00001,BA-00001,B-5200295,14/08/2017,13/09/2019,NOK,68000000,NOK,68000000,Interest Rate - Swap,USD,-130019.9178,27/09/2018,NOK,-1083499.315,16/08/2017,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
317,BA-00001,BA-00001,B-5200296,24/08/2011,23/04/2029,JPY,92000000,NOK,6900000,Cross Currency - Swap,USD,99207.08582,27/09/2018,JPY,11023009.54,26/08/2011,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
318,BA-00001,BA-00001,B-5200297,25/06/2010,16/03/2023,GBP,90000000,GBP,90000000,Interest Rate - Swap Basis,USD,-11036880.91,27/09/2018,GBP,-8622563.215,29/06/2010,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
319,BA-00001,BA-00001,B-5200298,24/08/2015,07/09/2020,EUR,56000000,EUR,56000000,Interest Rate - Swap Basis,USD,7650277.274,27/09/2018,EUR,6595066.616,26/08/2015,Payer,,,EIB,,,3645457,EntityB,983400120,EntityA,Active
320,BA-00001,BA-00001,B-5200299,06/12/2017,06/09/2022,CHF,12000000,JPY,1357560000,Cross Currency - Swap,USD,45490.40437,27/09/2018,CHF,44598.43566,08/12/2017,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
321,BA-00001,BA-00001,B-5200300,15/11/2006,20/12/2029,USD,74000000,USD,74000000,Interest Rate - Swap Basis,USD,-4370075.234,27/09/2018,USD,-4370075.234,17/11/2006,Receiver,,,LIB,,,3645457,EntityB,983400120,EntityA,Active
322,BA-00001,BA-00001,B-5200301,18/05/2018,04/03/2025,SEK,55000000,CHF,6050000,Cross Currency - Swap,USD,464043.9264,27/09/2018,SEK,4218581.149,22/05/2018,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
323,BA-00001,BA-00001,B-5200302,28/04/2016,14/06/2019,SEK,74000000,SEK,74000000,Interest Rate - Swaption,USD,-22413.24852,27/09/2018,SEK,-203756.8048,02/05/2016,Payer,Call,,,,,3645457,EntityB,983400120,EntityA,Active
324,BA-00001,BA-00001,B-5200303,08/01/2009,21/12/2020,NOK,13000000,NOK,13000000,Interest Rate - Swap,USD,169387.9416,27/09/2018,NOK,1411566.18,12/01/2009,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
325,BA-00001,BA-00001,B-5200304,10/07/2017,02/11/2020,DKK,7000000,DKK,7000000,Interest Rate - Swap,USD,-45970.8972,27/09/2018,DKK,-287318.1075,12/07/2017,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
326,BA-00001,BA-00001,B-5200305,25/01/2011,05/01/2026,CHF,2000000,CHF,2000000,Interest Rate - Swap,USD,17473.50185,27/09/2018,CHF,17130.88416,27/01/2011,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
327,BA-00001,BA-00001,B-5200306,25/08/2008,18/10/2021,JPY,25000000,NOK,1875000,FX - Swap,USD,26244.87087,27/09/2018,JPY,2916096.763,27/08/2008,,,0.99,,,,3645457,EntityB,983400120,EntityA,Active
328,BA-00001,BA-00001,B-5200307,31/10/2011,19/07/2024,GBP,91000000,DKK,749840000,FX - Swap,USD,8531202.248,27/09/2018,GBP,6665001.757,02/11/2011,,,0.184,,,,3645457,EntityB,983400120,EntityA,Active
329,BA-00001,BA-00001,B-5200308,03/10/2017,18/08/2025,JPY,61000000,NOK,4575000,FX - Swap,USD,56588.40099,27/09/2018,JPY,6287600.11,05/10/2017,,,0.94,,,,3645457,EntityB,983400120,EntityA,Active
330,BA-00001,BA-00001,B-5200309,09/06/2008,06/08/2020,SEK,30000000,CHF,3300000,Cross Currency - Swap,USD,-180352.3674,27/09/2018,SEK,-1639566.976,11/06/2008,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
331,BA-00001,BA-00001,B-5200310,24/08/2015,07/06/2028,NOK,99000000,AUD,15840000,Cross Currency - Swap,USD,-604303.6293,27/09/2018,NOK,-5035863.578,26/08/2015,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
332,BA-00001,BA-00001,B-5200311,05/04/2006,18/08/2025,USD,75000000,EUR,64500000,Cross Currency - Swap,USD,-1510725.451,27/09/2018,USD,-1510725.451,07/04/2006,Payer,,,LIB,,,3645457,EntityB,983400120,EntityA,Active
333,BA-00001,BA-00001,B-5200312,13/08/2007,12/08/2024,AUD,13000000,AUD,13000000,Interest Rate - Swap,USD,-248132.0996,27/09/2018,AUD,-339906.9857,15/08/2007,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
334,BA-00001,BA-00001,B-5200313,13/11/2006,05/09/2023,AUD,23000000,SEK,153870000,FX - Swap,USD,1652847.954,27/09/2018,AUD,2264175.279,15/11/2006,,,0.866,,,,3645457,EntityB,983400120,EntityA,Active
335,BA-00001,BA-00001,B-5200314,05/09/2011,06/10/2025,CHF,81000000,JPY,9163530000,Cross Currency - Swap,USD,11385536.45,27/09/2018,CHF,11162290.63,07/09/2011,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
336,BA-00001,BA-00001,B-5200315,01/12/2010,05/02/2019,SEK,73000000,CHF,8030000,FX - Swap,USD,863999.5693,27/09/2018,SEK,7854541.54,03/12/2010,,,0.112,,,,3645457,EntityB,983400120,EntityA,Active
337,BA-00001,BA-00001,B-5200316,20/11/2008,29/04/2030,NOK,75000000,AUD,12000000,FX - Swap,USD,395687.6993,27/09/2018,NOK,3297397.494,24/11/2008,,,0.862,,,,3645457,EntityB,983400120,EntityA,Active
338,BA-00001,BA-00001,B-5200317,23/08/2016,13/07/2020,USD,32000000,USD,32000000,Interest Rate - Swaption,USD,1880395.119,27/09/2018,USD,1880395.119,25/08/2016,Payer,Call,,LIB,,,3645457,EntityB,983400120,EntityA,Active
339,BA-00001,BA-00001,B-5200318,15/07/2016,25/04/2029,CHF,49000000,JPY,5543370000,Cross Currency - Swap,USD,6326841.046,27/09/2018,CHF,6202785.34,19/07/2016,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
340,BA-00001,BA-00001,B-5200319,20/03/2008,24/11/2022,DKK,58000000,DKK,58000000,Interest Rate - Swap,USD,738717.5759,27/09/2018,DKK,4616984.849,24/03/2008,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
341,BA-00001,BA-00001,B-5200320,19/01/2015,29/09/2020,SEK,73000000,SEK,73000000,Interest Rate - Swap,USD,-499338.6638,27/09/2018,SEK,-4539442.398,21/01/2015,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
342,BA-00001,BA-00001,B-5200321,27/12/2017,28/01/2026,CHF,66000000,CHF,66000000,Interest Rate - Swaption,USD,-9903742.634,27/09/2018,CHF,-9709551.602,29/12/2017,Payer,Call,,,,,3645457,EntityB,983400120,EntityA,Active
343,BA-00001,BA-00001,B-5200322,26/06/2009,19/06/2023,AUD,19000000,USD,13870000,FX - Swap,USD,-395890.6114,27/09/2018,AUD,-542315.906,30/06/2009,,,0.672,,,,3645457,EntityB,983400120,EntityA,Active
344,BA-00001,BA-00001,B-5200323,12/03/2009,05/12/2019,DKK,62000000,DKK,62000000,Interest Rate - Swap Basis,USD,621807.4176,27/09/2018,DKK,3886296.36,16/03/2009,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
345,BA-00001,BA-00001,B-5200324,06/04/2017,25/10/2021,CAD,86000000,CAD,86000000,Interest Rate - Swap,USD,966151.1357,27/09/2018,CAD,1254741.735,10/04/2017,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
346,BA-00001,BA-00001,B-5200325,27/09/2010,30/11/2020,JPY,35000000,NOK,2625000,FX - Swap,USD,27968.16645,27/09/2018,JPY,3107574.05,29/09/2010,,,0.568,,,,3645457,EntityB,983400120,EntityA,Active
347,BA-00001,BA-00001,B-5200326,24/02/2017,07/07/2020,GBP,36000000,GBP,36000000,Interest Rate - Swaption,USD,-1380813.323,27/09/2018,GBP,-1078760.409,28/02/2017,Payer,Call,,,,,3645457,EntityB,983400120,EntityA,Active
348,BA-00001,BA-00001,B-5200327,13/11/2006,13/12/2022,GBP,40000000,GBP,40000000,Interest Rate - Swap Basis,USD,3167367.957,27/09/2018,GBP,2474506.217,15/11/2006,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
349,BA-00001,BA-00001,B-5200328,06/11/2006,23/03/2027,GBP,84000000,GBP,84000000,Interest Rate - Swap Basis,USD,-12579851.6,27/09/2018,GBP,-9828009.059,08/11/2006,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
350,BA-00001,BA-00001,B-5200329,27/07/2011,15/02/2029,USD,95000000,USD,95000000,Interest Rate - Swap Basis,USD,7656918.64,27/09/2018,USD,7656918.64,29/07/2011,Payer,,,LIB,,,3645457,EntityB,983400120,EntityA,Active
351,BA-00001,BA-00001,B-5200330,03/11/2014,28/01/2030,EUR,48000000,EUR,48000000,Interest Rate - Swap Basis,USD,-4451868.759,27/09/2018,EUR,-3837817.895,05/11/2014,Receiver,,,EIB,,,3645457,EntityB,983400120,EntityA,Active
352,BA-00001,BA-00001,B-5200331,26/07/2013,24/09/2019,CAD,51000000,CAD,51000000,Interest Rate - Swap,USD,483298.629,27/09/2018,CAD,627660.5572,30/07/2013,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
353,BA-00001,BA-00001,B-5200332,09/09/2010,24/10/2019,DKK,94000000,CAD,18800000,FX - Swap,USD,-1705378.611,27/09/2018,DKK,-10658616.32,13/09/2010,,,0.94,,,,3645457,EntityB,983400120,EntityA,Active
354,BA-00001,BA-00001,B-5200333,16/05/2014,04/05/2022,EUR,51000000,EUR,51000000,Interest Rate - Swap,USD,-2589451.681,27/09/2018,EUR,-2232285.932,20/05/2014,Payer,,,EIB,,,3645457,EntityB,983400120,EntityA,Active
355,BA-00001,BA-00001,B-5200334,16/11/2015,11/07/2023,SEK,15000000,CHF,1650000,Cross Currency - Swap,USD,-241266.0336,27/09/2018,SEK,-2193327.578,18/11/2015,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
356,BA-00001,BA-00001,B-5200335,13/07/2006,31/05/2027,EUR,7000000,GBP,6370000,Cross Currency - Swap,USD,-296597.6648,27/09/2018,EUR,-255687.642,17/07/2006,Payer,,,EIB,,,3645457,EntityB,983400120,EntityA,Active
357,BA-00001,BA-00001,B-5200336,07/05/2018,16/06/2025,NOK,73000000,NOK,73000000,Interest Rate - Swap,USD,-409287.1748,27/09/2018,NOK,-3410726.456,09/05/2018,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
358,BA-00001,BA-00001,B-5200337,19/02/2008,20/03/2030,NOK,7000000,NOK,7000000,Interest Rate - Swap,USD,84507.14537,27/09/2018,NOK,704226.2114,21/02/2008,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
359,BA-00001,BA-00001,B-5200338,15/06/2009,18/11/2027,JPY,90000000,NOK,6750000,Cross Currency - Swap,USD,-62613.54129,27/09/2018,JPY,-6957060.144,17/06/2009,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
360,BA-00001,BA-00001,B-5200339,16/03/2015,04/02/2027,EUR,81000000,EUR,81000000,Interest Rate - Swaption,USD,10410832.18,27/09/2018,EUR,8974855.329,18/03/2015,Receiver,Put,,EIB,,,3645457,EntityB,983400120,EntityA,Active
361,BA-00001,BA-00001,B-5200340,24/09/2015,19/09/2022,JPY,56000000,JPY,56000000,Interest Rate - Swaption,USD,30327.3144,27/09/2018,JPY,3369701.6,28/09/2015,Payer,Put,,,,,3645457,EntityB,983400120,EntityA,Active
362,BA-00001,BA-00001,B-5200341,18/11/2010,04/06/2020,GBP,52000000,GBP,52000000,Interest Rate - Swap,USD,-3112398.873,27/09/2018,GBP,-2431561.62,22/11/2010,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
363,BA-00001,BA-00001,B-5200342,22/08/2016,27/11/2028,NOK,70000000,NOK,70000000,Interest Rate - Swaption,USD,1131232.572,27/09/2018,NOK,9426938.1,24/08/2016,Payer,Put,,,,,3645457,EntityB,983400120,EntityA,Active
364,BA-00001,BA-00001,B-5200343,16/05/2012,13/12/2027,USD,59000000,EUR,50740000,Cross Currency - Swap,USD,6841107.639,27/09/2018,USD,6841107.639,18/05/2012,Receiver,,,LIB,,,3645457,EntityB,983400120,EntityA,Active
365,BA-00001,BA-00001,B-5200344,19/09/2016,02/02/2026,CAD,90000000,CAD,90000000,Interest Rate - Swaption,USD,-9659171.947,27/09/2018,CAD,-12544379.15,21/09/2016,Receiver,Call,,,,,3645457,EntityB,983400120,EntityA,Active
366,BA-00001,BA-00001,B-5200345,30/03/2011,24/09/2019,AUD,82000000,SEK,548580000,Cross Currency - Swap,USD,-6484449.333,27/09/2018,AUD,-8882807.305,01/04/2011,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
367,BA-00001,BA-00001,B-5200346,18/12/2017,20/03/2023,DKK,89000000,CAD,17800000,Cross Currency - Swap,USD,60383.07742,27/09/2018,DKK,377394.2339,20/12/2017,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
368,BA-00001,BA-00001,B-5200347,12/06/2012,15/07/2027,CAD,20000000,CAD,20000000,Interest Rate - Swaption,USD,686183.4248,27/09/2018,CAD,891147.305,14/06/2012,Receiver,Put,,,,,3645457,EntityB,983400120,EntityA,Active
369,BA-00001,BA-00001,B-5200348,17/01/2017,18/01/2030,SEK,32000000,SEK,32000000,Interest Rate - Swap Basis,USD,346910.2985,27/09/2018,SEK,3153729.987,19/01/2017,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
370,BA-00001,BA-00001,B-5200349,03/11/2010,26/10/2026,CAD,79000000,CAD,79000000,Interest Rate - Swap Basis,USD,3209993.161,27/09/2018,CAD,4168822.287,05/11/2010,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
371,BA-00001,BA-00001,B-5200350,02/11/2016,26/02/2027,EUR,22000000,EUR,22000000,Interest Rate - Swaption,USD,-728080.2459,27/09/2018,EUR,-627655.3844,04/11/2016,Payer,Call,,EIB,,,3645457,EntityB,983400120,EntityA,Active
372,BA-00001,BA-00001,B-5200351,22/05/2006,21/06/2021,EUR,9000000,GBP,8190000,Cross Currency - Swap,USD,-238217.1951,27/09/2018,EUR,-205359.6509,24/05/2006,Payer,,,EIB,,,3645457,EntityB,983400120,EntityA,Active
373,BA-00001,BA-00001,B-5200352,13/03/2007,16/10/2030,DKK,59000000,DKK,59000000,Interest Rate - Swap Basis,USD,904497.0626,27/09/2018,DKK,5653106.641,15/03/2007,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
374,BA-00001,BA-00001,B-5200353,04/12/2013,26/08/2030,NOK,81000000,AUD,12960000,FX - Swap,USD,601203.4089,27/09/2018,NOK,5010028.407,06/12/2013,,,0.632,,,,3645457,EntityB,983400120,EntityA,Active
375,BA-00001,BA-00001,B-5200354,06/03/2018,20/08/2024,JPY,12000000,JPY,12000000,Interest Rate - Swap,USD,-15806.93108,27/09/2018,JPY,-1756325.676,08/03/2018,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
376,BA-00001,BA-00001,B-5200355,11/09/2007,09/06/2025,GBP,78000000,DKK,642720000,FX - Swap,USD,-3328942.366,27/09/2018,GBP,-2600736.224,13/09/2007,,,0.788,,,,3645457,EntityB,983400120,EntityA,Active
377,BA-00001,BA-00001,B-5200356,06/06/2017,22/08/2022,EUR,64000000,EUR,64000000,Interest Rate - Swaption,USD,1311130.683,27/09/2018,EUR,1130285.072,08/06/2017,Receiver,Put,,EIB,,,3645457,EntityB,983400120,EntityA,Active
378,BA-00001,BA-00001,B-5200357,10/01/2006,16/07/2027,USD,15000000,EUR,12900000,FX - Swap,USD,1567777.167,27/09/2018,USD,1567777.167,12/01/2006,,,0.898,LIB,,,3645457,EntityB,983400120,EntityA,Active
379,BA-00001,BA-00001,B-5200358,05/03/2018,26/04/2021,GBP,20000000,GBP,20000000,Interest Rate - Swap Basis,USD,3311457.034,27/09/2018,GBP,2587075.808,07/03/2018,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
380,BA-00001,BA-00001,B-5200359,14/01/2008,24/07/2029,USD,13000000,USD,13000000,Interest Rate - Swaption,USD,982170.6708,27/09/2018,USD,982170.6708,16/01/2008,Receiver,Call,,LIB,,,3645457,EntityB,983400120,EntityA,Active
381,BA-00001,BA-00001,B-5200360,27/04/2009,17/04/2029,EUR,44000000,EUR,44000000,Interest Rate - Swap,USD,-6303712.831,27/09/2018,EUR,-5434235.199,29/04/2009,Payer,,,EIB,,,3645457,EntityB,983400120,EntityA,Active
382,BA-00001,BA-00001,B-5200361,27/06/2006,25/09/2025,GBP,41000000,GBP,41000000,Interest Rate - Swap,USD,-629435.3872,27/09/2018,GBP,-491746.3962,29/06/2006,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
383,BA-00001,BA-00001,B-5200362,02/02/2011,30/04/2020,EUR,6000000,EUR,6000000,Interest Rate - Swap,USD,-4059.53424,27/09/2018,EUR,-3499.598483,04/02/2011,Payer,,,EIB,,,3645457,EntityB,983400120,EntityA,Active
384,BA-00001,BA-00001,B-5200363,16/07/2009,17/04/2025,DKK,6000000,CAD,1200000,FX - Swap,USD,-86218.1427,27/09/2018,DKK,-538863.3919,20/07/2009,,,0.318,,,,3645457,EntityB,983400120,EntityA,Active
385,BA-00001,BA-00001,B-5200364,19/07/2006,23/05/2019,AUD,81000000,SEK,541890000,Cross Currency - Swap,USD,-3748646.761,27/09/2018,AUD,-5135132.55,21/07/2006,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
386,BA-00001,BA-00001,B-5200365,14/05/2010,19/10/2020,SEK,92000000,SEK,92000000,Interest Rate - Swap,USD,-1429083.864,27/09/2018,SEK,-12991671.49,18/05/2010,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
387,BA-00001,BA-00001,B-5200366,07/11/2011,31/07/2030,AUD,8000000,AUD,8000000,Interest Rate - Swap,USD,265753.7952,27/09/2018,AUD,364046.2949,09/11/2011,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
388,BA-00001,BA-00001,B-5200367,05/05/2010,21/05/2025,AUD,20000000,SEK,133800000,FX - Swap,USD,-1924071.579,27/09/2018,AUD,-2635714.492,07/05/2010,,,0.076,,,,3645457,EntityB,983400120,EntityA,Active
